ID,movieName,distributionCompany,releaseSeason,seasonNum,releaseMonth,releaseYear,releaseDate,totalRevenue,ticketsSold,director,genre,Genre_Enum,moreThanMil
106,Wolverine,Tig..,Summer,3,7,2013,7/26/2013,5121513,456897,James Mangold,Science - Fiction ,12,N
107,Efsane Beşli,UIP.,Winter,1,1,2013,1/11/2013,4853465,432260,Peter Ramsey,Animation,3,N
108,Dabbe: Cin Çarpması,UIP.,Summer,3,8,2013,8/2/2013,3751364,422747,Hasan Karacadağ,Horror,9,N
109,The Hangover 3: Felekten Bir Gece,Warner Bros.,Spring,2,5,2013,5/31/2013,4377506,421424,Todd Phillips,Comedy,4,N
110,el-CİN,UIP.,Spring,2,4,2013,4/5/2013,3646064,421052,Hasan Karacadağ,Horror,9,N
111,Fetih 1453,Tig..,Winter,1,2,2012,2/16/2012,55744699,6572618,Faruk Aksoy,History,8,Y
112,Evim Sensin,UIP.,Fall,4,11,2012,11/2/2012,24483088,2703241,Özcan Deniz,Romance,11,Y
113,Berlin Kaplanı,UIP.,Winter,1,1,2012,1/27/2012,18248363,1983077,Ata Demirer,Comedy,4,Y
114,Buz Devri 4: Kıtalar Ayrılıyor,Tig..,Summer,3,6,2012,6/29/2012,18551768,1883004,Steve Martino,Animation,3,Y
115,Sen Kimsin?,UIP.,Spring,2,3,2012,3/2/2012,14218718,1592471,Ozan Açıktan,Comedy,4,Y
116,Alacakaranlık Efsanesi: Şafak Vakti Bölüm 2,Tig..,Fall,4,11,2012,11/16/2012,13101986,1417752,"Bill Condon,",Action,1,Y
117,Sümela'nın Şifresi Temel,Pin..,Winter,1,12,2011,12/16/2011,15473417,1731519,Adem Kılıç,Comedy,4,Y
118,Hobbit: Beklenmedik Yolculuk,Warner Bros.,Winter,1,12,2012,12/14/2012,12475206,1064089,Peter Jackson,Fantasy,7,Y
119,Çanakkale 1915,Tig..,Fall,4,10,2012,10/18/2012,7607756,918181,Yeşim Segin,History,8,N
120,Moskova'nın Şifresi Temel,Pin..,Fall,4,11,2012,11/23/2012,7583639,841124,Adem Kılıç,Comedy,4,N
121,Çakallarla Dans 2: Hastasıyız Dede,Warner Bros.,Winter,1,12,2012,12/7/2012,8576507,929739,Murat Seker,Comedy,4,N
122,Kara Şövalye Yükseliyor,Warner Bros.,Summer,3,7,2012,7/27/2012,8429943,799586,Christopher Nolan,Crime,5,N
123,Uzun Hikaye,UIP.,Fall,4,10,2012,10/12/2012,6746225,725518,Osman sınav,Comedy,4,N
124,Çizmeli Kedi,UIP.,Winter,1,1,2012,1/13/2012,7273265,697522,Chris Miller,Animation,3,N
125,Yenilmezler,UIP.,Spring,2,5,2012,5/4/2012,7660682,666520,Joss Whedon,Science - Fiction ,12,N
126,Açlık Oyunları,Tig..,Spring,2,3,2012,3/23/2012,6101576,650382,Francis Lawrance,Action,1,N
127,Skyfall,Warner Bros.,Fall,4,11,2012,11/2/2012,7048125,635649,Sam Mendes,Action,1,N
128,Cehennem Melekleri 2,MVZ.,Summer,3,8,2012,8/17/2012,5497954,586850,Simon West,Action,1,N
129,Kurtuluş Son Durak,UIP.,Winter,1,1,2012,1/6/2012,5393534,583880,Yusuf Pirhasan,Comedy,4,N
130,Neşeli Ayaklar 2,Warner Bros.,Winter,1,1,2012,1/20/2012,5262862,529866,George miller,Animation,3,N
131,İnanılmaz Örümcek-Adam,Warner Bros.,Summer,3,7,2012,7/6/2012,5342761,496894,Marc Webb,Science - Fiction ,12,N
132,Madagaskar 3: Avrupa'nın En Çok Arananları,UIP.,Summer,3,6,2012,6/8/2012,4936620,482540,Eric Darnell,Animation,3,N
133,Pamuk Prenses ve Avcı,UIP.,Summer,3,6,2012,6/1/2012,3842143,412298,Rupert Sanders,Adventure,2,N
134,Titanların Öfkesi,Warner Bros.,Spring,2,3,2012,3/30/2012,4302146,384188,Jonathan Liebesman,Fantasy,7,N
135,Mission: Impossible - Ghost Protocol,UIP.,Winter,1,12,2011,12/23/2011,6399174,640819,Brad Bird,Action,1,N
136,Eyyvah Eyvah 2,UIP.,Winter,1,1,2011,1/7/2011,36678019,3947988,Hakan algül,Comedy,4,Y
137,Aşk Tesadüfleri Sever,UIP.,Winter,1,2,2011,2/4/2011,21910790,2418090,Ömer Faruk Sorak,Romance,11,Y
138,Allah'ın Sadık Kulu: Barla,Özen.,Fall,4,11,2011,11/4/2011,15669214,2227113,Orhan Öztürk Esin,Religious,10,Y
139,Kurtlar Vadisi: Filistin,Özen.,Winter,1,1,2011,1/28/2011,17293396,2028057,zübeyr Şaşmaz,Action,1,Y
140,Alacakaranlık Efsanesi: Şafak Vakti Bölüm 1,Tig..,Fall,4,11,2011,11/18/2011,12209108,1379487,Bill condon,Fantasy,7,Y
141,Anadolu Kartalları,Tig..,Fall,4,10,2011,10/28/2011,10329587,1195129,Ömer Vargı,Drama,6,Y
142,Karayip Korsanları: Gizemli Denizlerde,UIP.,Spring,2,5,2011,5/19/2011,13135550,1171979,Rob Marshall,Fantasy,7,Y
143,Şirinler,Warner Bros.,Summer,3,8,2011,8/5/2011,11540653,1149843,Raja Gosnell,Animation,3,Y
144,Dedemin İnsanları,Warner Bros.,Fall,4,11,2011,11/25/2011,11067654,1204183,Çağan Irmak,Drama,6,Y
145,Hür Adam: Bediuzzaman Said Nursi,Özen.,Winter,1,1,2011,1/7/2011,7320404,955519,Mehmet Tanrısever,Religious,10,N
146,Ya Sonra,Warner Bros.,Winter,1,2,2011,2/25/2011,7559500,849743,özcan Deniz,Drama,6,N
147,Harry Potter ve Ölüm Yadigarları: Bölüm 2,Warner Bros.,Summer,3,7,2011,7/13/2011,7925707,798414,David Yates,Fantasy,7,N
148,Kolpaçino: Bomba,Warner Bros.,Spring,2,3,2011,3/11/2011,6559712,736320,Şafak Sezer,Comedy,4,N
149,Arabalar 2,UIP.,Summer,3,8,2011,8/19/2011,7039916,690709,John Lasseter,Animation,3,N
150,Sümela'nın Şifresi Temel,Pin..,Winter,1,12,2011,12/16/2011,15473417,1731519,Adem Kılıç,Comedy,4,Y
151,Hızlı ve Öfkeli 5: Rio Soygunu,UIP.,Spring,2,4,2011,4/29/2011,6037189,665624,Justin Lin,Action,1,N
152,Transformers: Ay'ın Karanlık Yüzü,UIP.,Summer,3,6,2011,6/29/2011,6859258,646540,Michael Bay,Science - Fiction ,12,N
153,Ölümsüzler,Pin..,Fall,4,11,2011,11/11/2011,6015023,541438,Tarsem singh,Fantasy,7,N
154,Behzat Ç. Seni Kalbime Gömdüm,Özen.,Fall,4,10,2011,10/28/2011,5069982,528421,Serdar akar,Drama,6,N
155,Kaybedenler Kulübü,Tig..,Spring,2,3,2011,3/25/2011,4558350,485580,tolga Örnek,Drama,6,N
156,Musallat 2: Lanet,Özen.,Winter,1,12,2011,12/2/2011,4401327,514331,Alper Mestçi,Horror,9,N
157,Sherlock Holmes: Gölge Oyunları,Warner Bros.,Winter,1,12,2011,12/16/2011,7227400,715983,Guy Ritchie,Adventure,2,N
158,Entelköy Efeköy'e Karşı,Tig..,Winter,1,12,2011,12/2/2011,4292096,520116,Yüksel aksu,Comedy,4,N
159,Ayı Yogi,Warner Bros.,Winter,1,1,2011,1/21/2011,3983688,405176,Eric Brevig,Animation,3,N
160,Son Durak 5,Warner Bros.,Fall,4,9,2011,9/9/2011,4017226,390877,Steven Quale,Thriller,13,N
161,New York'ta Beş Minare,Pin..,Fall,4,11,2010,11/5/2010,31645541,3474495,Mahsun Kırmızıgül,Drama,6,Y
162,Recep İvedik 3,Özen.,Winter,1,2,2010,2/12/2010,28712099,3326084,Togan gökbakar,Comedy,4,Y
163,Eyyvah Eyvah,UIP.,Winter,1,2,2010,2/26/2010,21723367,2459815,Hakan Algül,Comedy,4,Y
164,Yahşi Batı,UIP.,Winter,1,1,2010,1/1/2010,20856555,2323061,Cem yılmaz,Comedy,4,Y
165,Av Mevsimi,Warner Bros.,Winter,1,12,2010,12/3/2010,19720427,2116192,Yavuz Turgul,Crime,5,Y
166,Avatar,Tig..,Winter,1,12,2009,12/18/2009,26636521,2482991,James Cameron,Science - Fiction ,12,Y
167,Çok Filim Hareketler Bunlar,MVZ.,Spring,2,3,2010,3/26/2010,9501115,1141844,Ozan Açıktan,Comedy,4,Y
168,Başlangıç,Warner Bros.,Summer,3,7,2010,7/30/2010,11041118,1103147,Christopher Nolan,Science - Fiction ,12,Y
169,Alacakaranlık Efsanesi: Tutulma,Tig..,Summer,3,6,2010,6/30/2010,8649021,1041920,David Slade,Fantasy,7,Y
170,Veda,Tig..,Winter,1,2,2010,2/26/2010,8257823,1028270,Zülfü livaneli,History,8,Y
171,Dersimiz Atatürk,CF.,Spring,2,3,2010,3/19/2010,5322599,861468,Hamdi Alkan,History,8,N
172,Kutsal Damacana 2: İtmen,Özen.,Winter,1,1,2010,1/22/2010,6845747,802547,Korhan Bozkurt,Comedy,4,N
173,Harry Potter ve Ölüm Yadigarları: Bölüm 1,Warner Bros.,Fall,4,11,2010,11/17/2010,7557967,798432,david Yates,Fantasy,7,N
174,Ejder Kapanı,UIP.,Winter,1,1,2010,1/22/2010,6716187,750913,Uğur Yücel,Action,1,N
175,Romantik Komedi,Pin..,Winter,1,2,2010,2/5/2010,6103697,666238,Ketche,Romance,11,N
176,Şrek: Sonsuza Dek Mutlu,UIP.,Spring,2,5,2010,5/28/2010,6035217,579137,Mike Mitchell,Animation,3,N
177,Pers Prensi: Zamanın Kumları,UIP.,Spring,2,5,2010,5/21/2010,4933804,547200,Mike Newell,Fantasy,7,N
178,Testere 3D,Warner Bros.,Fall,4,11,2010,11/12/2010,6072415,524703,Kevin Greutart,Horror,9,N
179,Robin Hood,UIP.,Spring,2,5,2010,5/14/2010,4581236,492484,Ridley Scott,Adventure,2,N
180,Eşrefpaşalılar,MVZ.,Spring,2,3,2010,3/5/2010,3065683,487478,Hüdaverdi Yavuz,Drama,6,N
181,Titanların Savaşı,Warner Bros.,Spring,2,4,2010,4/2/2010,4811400,476597,Louis Laterrier,Fantasy,7,N
182,Son Hava Bükücü,UIP.,Summer,3,7,2010,7/23/2010,4900901,438639,M. Night Shmayalan,Fantasy,7,N
183,Turist (2010),Pin..,Winter,1,12,2010,12/10/2010,5015436,477377,Donnersmack,Action,1,N
184,Alis Harikalar Diyarında,UIP.,Spring,2,3,2010,3/5/2010,3754099,335819,Tim burton,Fantasy,7,N
185,Oyuncak Hikayesi 3,UIP.,Summer,3,7,2010,7/2/2010,3672533,337599,Lee Unkrich,Animation,3,N
186,Resident Evil: Ölümden Sonra,Pin..,Fall,4,9,2010,9/10/2010,3688813,331700,Paul W. S. Anderson,Action,1,N
187,Sihirbazın Çırağı,UIP.,Summer,3,7,2010,7/16/2010,2780227,314188,Jon Turtletaub,Fantasy,7,N
188,Iron Man 2,UIP.,Spring,2,5,2010,5/7/2010,2743085,294602,Jon Favreu,Science - Fiction ,12,N
189,Sherlock Holmes,Warner Bros.,Winter,1,1,2010,1/15/2010,2828949,269864,Guy Ritchie,Adventure,2,N
190,Ajan Salt,Warner Bros.,Summer,3,8,2010,8/6/2010,2368052,252612,Phillip noyce,Action,1,N
191,Recep İvedik 2,Özen.,Winter,1,2,2009,2/13/2009,33493327,4333144,Togan gökbakar,Comedy,4,Y
192,Güneşi Gördüm,Pin..,Spring,2,3,2009,3/12/2009,19581629,2566435,Mahsun Kırmızıgül,Drama,6,Y
193,Nefes: Vatan Sağolsun,MVZ.,Fall,4,10,2009,10/16/2009,19816778,2436780,Levent Semerci,Drama,6,Y
194,2012,Warner Bros.,Fall,4,11,2009,11/13/2009,13268138,1497017,Roland Emmerich,Adventure,2,Y
195,Buz Devri 3: Dinozorların Şafağı,Tig..,Summer,3,7,2009,7/1/2009,11448379,1434381,Carlos Saldanha,Animation,3,Y
196,Alacakaranlık Efsanesi: Yeni Ay,Tig..,Fall,4,11,2009,11/20/2009,10817434,1243754,Chris Weitz,Fantasy,7,Y
197,Neşeli Hayat,CF.,Fall,4,11,2009,11/27/2009,9661268,1125601,Yılmaz Erdoğan,Drama,6,Y
198,Kurtlar Vadisi: Gladio,Özen.,Fall,4,11,2009,11/20/2009,6912853,876810,Sadullah Şentürk,Action,1,N
199,Issız Adam,CF.,Fall,4,11,2008,11/7/2008,23421170,2788550,Çağan ırmak,Drama,6,Y
200,Avatar,Tig..,Winter,1,12,2009,12/18/2009,26636521,2482991,James Cameron,Science - Fiction ,12,Y
201,Melekler ve Şeytanlar,Warner Bros.,Spring,2,5,2009,5/15/2009,5976194,705709,ron howard,Crime,5,N
202,Harry Potter ve Melez Prens,Warner Bros.,Summer,3,7,2009,7/15/2009,5052407,640098,David Yates,Fantasy,7,N
203,Güz Sancısı,Özen.,Winter,1,1,2009,1/23/2009,4660887,576428,Tomris Giritoğlu,Drama,6,N
204,Kadri'nin Götürdüğü Yere Git,MVZ.,Winter,1,1,2009,1/16/2009,3760707,516018,Onur Tan,Comedy,4,N
205,Vali,MVZ.,Winter,1,1,2009,1/9/2009,3559247,488766,Çağatay tosun,Crime,5,N
206,Benjamin Button'ın Tuhaf Hikayesi,Warner Bros.,Winter,1,2,2009,2/6/2009,4212868,465319,Eric roth,Fantasy,7,N
207,Kolpaçino,Özen.,Fall,4,10,2009,10/29/2009,3653362,457687,Atıl İnanç,Comedy,4,N
208,Hızlı ve Öfkeli 4,UIP.,Spring,2,4,2009,4/3/2009,3172155,379827,Justin Lin,Action,1,N
